"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_nonprofit.org","FirstLinkDate_alsnonprofit.org","LastLinkDate_nonprofit.org"
246,"bulgoldens.com",7452,-1,1,2,46729,353617,147115,01/02/2008 00:00,10/08/2013 00:00,"87.120.40.33","87.120.40.0","BG","com",37,20,2,23/08/2012 00:00,23/08/2012 00:00
247,"1a-search.de",734,-1,1,2,115940,219629,12354,16/01/2008 00:00,09/10/2010 00:00,"62.116.181.25","62.116.181.0","DE","de",10,15,2,12/11/2008 00:00,12/11/2008 00:00
248,"neisnews.org",34,-1,1,2,92,341,18,16/04/2008 00:00,29/12/2008 00:00,"81.200.64.50","81.200.64.0","UK","org",0,0,2,16/04/2008 00:00,16/04/2008 00:00
249,"jsdk.pl",8547,-1,1,2,1721319,1645260,509724,14/11/2009 00:00,10/08/2013 00:00,"195.248.226.10","195.248.226.0","PL","pl",25,14,2,20/09/2010 00:00,20/09/2010 00:00
250,"astimax.de",500,-1,1,2,5786,6371,3453,21/01/2008 00:00,10/08/2013 00:00,"212.51.17.9","212.51.17.0","DE","de",28,38,2,30/08/2012 00:00,30/08/2012 00:00
251,"bauherren-nord.de",14029,-1,1,2,210969,284625,118077,30/11/2008 00:00,10/08/2013 00:00,"84.200.12.36","84.200.12.0","DE","de",29,3,2,10/01/2012 00:00,10/01/2012 00:00
252,"anwarkim.com",1377,-1,1,2,35424,11588069,482926,19/11/2009 00:00,10/08/2013 00:00,"66.147.242.173","66.147.242.0","US","com",13,8,2,29/06/2010 00:00,29/06/2010 00:00
253,"cwanswers.de",1239,-1,1,2,659410,1617661,409382,01/10/2008 00:00,10/08/2013 00:00,"141.8.224.137","141.8.224.0","CH","de",14,10,2,21/02/2009 00:00,21/02/2009 00:00
254,"gabanooo.de",416,-1,1,2,675269,3610526,372556,15/01/2008 00:00,01/07/2013 00:00,"84.201.61.243","84.201.61.0","DE","de",9,7,2,09/11/2008 00:00,09/11/2008 00:00
255,"lasearch.de",9,-1,1,2,104,261799,261798,10/01/2008 00:00,03/02/2012 00:00,"82.98.86.165","82.98.86.0","DE","de",0,0,2,22/10/2008 00:00,22/10/2008 00:00
256,"wheelchairsonline.org",7,-1,1,2,8,8204,8116,01/06/2013 00:00,31/07/2013 00:00,"50.22.81.64","50.22.81.0","US","org",8,0,2,02/03/2013 00:00,10/07/2013 00:00
257,"zoomsummary.com",2,-1,1,2,2,663783,663782,22/07/2008 00:00,12/02/2013 00:00,"207.106.190.10","207.106.190.0","US","com",0,0,2,20/10/2009 00:00,20/10/2009 00:00
258,"burningtags.com",633,-1,1,2,6471,432766,87540,06/01/2011 00:00,10/08/2013 00:00,"206.214.217.25","206.214.217.0","US","com",9,0,2,09/04/2011 00:00,10/04/2013 00:00
259,"lisburnroad.com",18,-1,1,2,24,986727,986727,27/08/2009 00:00,19/07/2013 00:00,"82.98.86.173","82.98.86.0","DE","com",0,0,2,29/05/2010 00:00,29/05/2010 00:00
260,"greendream.biz",182,-1,1,2,1736,1907,1538,22/01/2008 00:00,30/07/2013 00:00,"67.18.153.227","67.18.153.0","US","biz",21,23,2,11/03/2013 00:00,17/07/2013 00:00
261,"homelinux.org",114232,-1,1,2,22097206,15650991,1379454,19/01/2008 00:00,10/08/2013 00:00,"204.13.248.119","204.13.248.0","US","org",42,39,2,01/11/2009 00:00,01/11/2009 00:00
262,"nodepositcasinosbonuses.com",1466,-1,1,2,10826,406,372,03/10/2012 00:00,10/08/2013 00:00,"173.201.25.49","173.201.25.0","US","com",16,2,2,21/06/2012 00:00,21/06/2012 00:00
263,"nniresearchfoundation.com",79,-1,1,2,385,284,148,14/02/2008 00:00,25/04/2011 00:00,"208.73.211.15","208.73.211.0","US","com",6,10,2,06/11/2009 00:00,28/02/2011 00:00
264,"getausjobtoday.com",1,-1,1,2,46456,21427,14930,25/05/2013 00:00,06/08/2013 00:00,"","","","com",0,0,2,26/05/2013 00:00,26/05/2013 00:00
265,"medicalmarijuanatexas.org",119,-1,1,2,759,5313,4185,27/02/2013 00:00,10/08/2013 00:00,"50.63.120.1","50.63.120.0","US","org",21,2,2,23/02/2013 00:00,31/05/2013 00:00
266,"ogretiyorum.net",1570,-1,1,2,125353,1642999,537374,25/02/2008 00:00,10/08/2013 00:00,"176.53.44.148","176.53.44.0","TR","net",20,18,2,11/04/2012 00:00,11/04/2012 00:00
267,"coiaa.org",739,-1,1,2,3854,62005,31501,07/07/2008 00:00,10/08/2013 00:00,"188.165.222.222","188.165.222.0","FR","org",23,14,2,18/02/2012 00:00,10/03/2012 00:00
268,"angelsspeak.ca",280,-1,1,2,30864,2621,2354,21/05/2010 00:00,11/10/2011 00:00,"50.116.48.243","50.116.48.0","US","ca",11,3,2,29/06/2010 00:00,18/05/2012 00:00
269,"mytaxistory.com",201,-1,1,2,881,219,208,16/09/2009 00:00,08/08/2013 00:00,"72.167.131.154","72.167.131.0","US","com",16,0,2,22/06/2009 00:00,30/06/2013 00:00
270,"livematurezone.com",4267,-1,1,2,46941,9522,7810,14/02/2008 00:00,10/08/2013 00:00,"74.117.176.18","74.117.176.0","US","com",20,2,2,19/04/2012 00:00,20/07/2012 00:00
271,"error10.net",187,-1,1,2,2374,303605,81829,31/01/2008 00:00,17/09/2011 00:00,"216.155.12.4","216.155.12.0","US","net",7,5,2,09/11/2010 00:00,18/11/2010 00:00
272,"ezkensaku.net",30,-1,1,2,125,5716,1977,28/01/2008 00:00,16/05/2011 00:00,"208.73.210.29","208.73.210.0","US","net",0,0,2,28/02/2008 00:00,28/02/2008 00:00
273,"my-carpet-cleaner.com",23,-1,1,2,133,339831,208727,19/12/2008 00:00,19/01/2013 00:00,"98.129.126.138","98.129.126.0","US","com",0,0,2,19/09/2009 00:00,19/09/2009 00:00
274,"luchtop.nl",3930,-1,1,2,33756,52574,15334,31/01/2008 00:00,01/02/2013 00:00,"83.137.194.21","83.137.194.0","NL","nl",10,2,2,31/07/2012 00:00,31/07/2012 00:00
275,"golfstrim.net",28154,-1,1,2,383926,985025,229404,26/04/2008 00:00,10/08/2013 00:00,"178.162.182.163","178.162.182.0","DE","net",48,9,2,20/03/2012 00:00,20/03/2012 00:00
276,"gunwebsites.net",3095,-1,1,2,703337,56652,40748,29/08/2010 00:00,10/08/2013 00:00,"173.201.92.1","173.201.92.0","US","net",39,22,2,19/03/2013 00:00,19/03/2013 00:00
277,"hirby.com",12531,-1,1,2,316295,3408178,304098,06/07/2009 00:00,10/08/2013 00:00,"184.168.221.52","184.168.221.0","US","com",25,24,2,17/04/2011 00:00,14/08/2012 00:00
278,"lonend.com",168,-1,1,2,870,40923,17385,15/10/2008 00:00,10/08/2013 00:00,"173.254.42.176","173.254.42.0","US","com",14,1,2,12/05/2012 00:00,07/07/2013 00:00
279,"ibnmasud.com",645,-1,1,2,4024,375996,12165,17/01/2008 00:00,10/08/2013 00:00,"69.163.193.111","69.163.193.0","US","com",18,13,2,02/05/2011 00:00,07/07/2011 00:00
280,"identifywebsite.com",119,-1,1,2,33241,446295,9765,08/06/2010 00:00,10/08/2013 00:00,"178.16.130.45","178.16.130.0","BG","com",7,2,2,14/04/2013 00:00,14/04/2013 00:00
281,"kuk-bot.net",10905,-1,1,2,77792,76994,14556,14/07/2008 00:00,10/08/2013 00:00,"74.208.63.155","74.208.63.0","US","net",19,5,2,31/07/2012 00:00,31/07/2012 00:00
282,"medicalmarijuanamassachusetts.net",111,-1,1,2,315,4112,3696,28/02/2013 00:00,10/08/2013 00:00,"50.63.120.1","50.63.120.0","US","net",19,0,2,27/03/2013 00:00,08/08/2013 00:00
283,"maxpellblog.com",274,-1,1,2,2949,44143,13992,02/01/2011 00:00,10/08/2013 00:00,"173.201.146.128","173.201.146.0","US","com",23,19,2,19/04/2012 00:00,19/04/2012 00:00
