"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_autoshop.com","FirstLinkDate_autoshop.com","LastLinkDate_autoshop.com"
93,"weightlossdallasweightloss.com",663,-1,1,3,13653,17566,13070,13/10/2009 00:00,27/05/2013 00:00,"149.47.132.220","149.47.132.0","US","com",13,3,3,18/04/2012 00:00,13/06/2012 00:00
94,"accepa.com.au",64,-1,1,3,108,1892,1186,23/03/2013 00:00,10/08/2013 00:00,"65.99.229.21","65.99.229.0","US","au",16,3,3,17/07/2013 00:00,31/07/2013 00:00
95,"friendsw.com",326,-1,1,3,2938,94490,19618,26/10/2011 00:00,10/08/2013 00:00,"184.154.105.78","184.154.105.0","US","com",12,1,3,18/04/2013 00:00,21/04/2013 00:00
96,"boatyard.ru",7033,-1,1,3,173747,147760,56610,20/01/2008 00:00,29/09/2012 00:00,"67.215.66.132","67.215.66.0","US","ru",14,14,3,19/06/2012 00:00,01/08/2012 00:00
97,"yamamotomasaki.com",273,-1,1,3,1908,1442,1044,29/11/2012 00:00,07/08/2013 00:00,"220.110.51.147","220.110.51.0","JP","com",21,5,3,18/04/2013 00:00,18/07/2013 00:00
98,"unam.mx",174943,1706,1,2,31767193,6933159,1698504,10/01/2008 00:00,10/08/2013 00:00,"132.248.10.44","132.248.10.0","MX","mx",61,74,2,03/07/2012 00:00,03/07/2012 00:00
99,"buysll.com",1322,23651,1,2,213705,55079,44547,25/07/2012 00:00,10/08/2013 00:00,"208.101.62.195","208.101.62.0","US","com",32,16,2,19/03/2013 00:00,26/07/2013 00:00
100,"betterseodirectory.com",1124,28117,1,2,116213,136630,94416,02/05/2011 00:00,10/08/2013 00:00,"66.147.240.185","66.147.240.0","US","com",19,12,2,14/03/2013 00:00,14/03/2013 00:00
101,"forum-software.org",107557,53792,1,2,3671355,436686,109754,23/01/2008 00:00,10/08/2013 00:00,"46.105.101.92","46.105.101.0","FR","org",68,44,2,30/03/2012 00:00,28/07/2012 00:00
102,"mobigf.com",18158,559357,1,2,154294,70467,18739,20/06/2012 00:00,10/08/2013 00:00,"216.18.174.217","216.18.174.0","US","com",36,9,2,13/10/2012 00:00,11/03/2013 00:00
103,"midnightowlvideo.com",2589,671496,1,2,30952,211136,73823,11/01/2008 00:00,10/08/2013 00:00,"209.31.182.57","209.31.182.0","US","com",26,7,2,13/06/2012 00:00,13/06/2012 00:00
104,"energija.ru",11155,695731,1,2,1032459,105973,88948,22/01/2008 00:00,10/08/2013 00:00,"194.186.45.230","194.186.45.0","RU","ru",36,27,2,28/03/2013 00:00,28/03/2013 00:00
105,"nepalitube.com",2024,873185,1,2,100072,4831638,1040270,26/08/2008 00:00,10/08/2013 00:00,"64.150.187.4","64.150.187.0","US","com",25,10,2,02/05/2012 00:00,04/07/2012 00:00
106,"onallcylinders.com",372,965526,1,2,2032,7969,6901,04/07/2012 00:00,10/08/2013 00:00,"184.168.188.1","184.168.188.0","US","com",27,30,2,17/02/2013 00:00,03/07/2013 00:00
107,"meisterdaja.ee",109,-1,1,2,588,2360,1250,26/09/2010 00:00,06/02/2013 00:00,"194.126.124.136","194.126.124.0","EE","ee",10,7,2,05/06/2012 00:00,05/06/2012 00:00
108,"louisianamedicalmarijuana.org",114,-1,1,2,604,4502,3959,19/06/2012 00:00,02/08/2013 00:00,"50.63.120.1","50.63.120.0","US","org",19,1,2,02/03/2013 00:00,21/07/2013 00:00
109,"add-url-business.com",49,-1,1,2,381,25448,25155,16/02/2013 00:00,,"94.247.178.141","94.247.178.0","FR","com",5,0,2,13/03/2013 00:00,13/03/2013 00:00
