"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_cnyinthedesert.com","FirstLinkDate_cnyinthedesert.com","LastLinkDate_cnyinthedesert.com"
88,"therepublic.com",56557,62844,1,1,2886449,1333374,442542,03/02/2008 00:00,10/08/2013 00:00,"198.101.144.12","198.101.144.0","US","com",45,50,1,08/02/2013 00:00,08/02/2013 00:00
89,"mediapool.bg",19206,79270,1,1,3767096,800966,378647,24/01/2008 00:00,10/08/2013 00:00,"193.194.140.19","193.194.140.0","BG","bg",47,45,1,30/07/2012 00:00,25/05/2013 00:00
90,"thestarphoenix.com",37961,93686,1,1,8105525,3629074,1446711,03/02/2008 00:00,10/08/2013 00:00,"208.47.254.82","208.47.254.0","US","com",52,51,1,08/02/2013 00:00,08/02/2013 00:00
91,"eastvalleytribune.com",91135,94126,1,1,11868243,26069279,1973571,11/01/2008 00:00,10/08/2013 00:00,"192.104.182.209","192.104.182.0","US","com",48,49,1,09/02/2013 00:00,13/04/2013 00:00
92,"webspace.ne.jp",5391,108545,1,1,1220048,1537713,724642,25/01/2008 00:00,01/07/2013 00:00,"133.242.193.16","133.242.193.0","JP","jp",32,28,1,27/11/2012 00:00,19/02/2013 00:00
93,"inout-search-ultimate.com",306,120944,1,1,3158,3341634,362937,11/04/2010 00:00,10/08/2013 00:00,"98.129.229.148","98.129.229.0","US","com",18,12,1,03/03/2012 00:00,03/03/2012 00:00
94,"thespectrum.com",49680,152020,1,1,6729670,792838,556458,10/01/2008 00:00,10/08/2013 00:00,"23.13.164.71","23.13.164.0","US","com",47,47,1,13/02/2013 00:00,21/02/2013 00:00
95,"moresiteslike.net",772,264803,1,1,34746,2638641,177623,16/03/2013 00:00,08/07/2013 00:00,"213.174.158.140","213.174.158.0","US","net",20,15,1,09/06/2013 00:00,09/06/2013 00:00
96,"ie7pro.com",36085,268730,1,1,6646312,1090849,346842,10/01/2008 00:00,10/08/2013 00:00,"184.172.2.123","184.172.2.0","US","com",40,40,1,08/08/2012 00:00,08/08/2012 00:00
97,"facesaerch.com",6325,302411,1,1,291007,3743785,953669,16/08/2008 00:00,10/08/2013 00:00,"46.30.211.54","46.30.211.0","DK","com",34,30,1,07/02/2013 00:00,07/02/2013 00:00
98,"hawaiitribune-herald.com",22043,309908,1,1,1431857,19767916,1301221,09/02/2008 00:00,10/08/2013 00:00,"184.169.178.1","184.169.178.0","US","com",48,43,1,25/07/2013 00:00,25/07/2013 00:00
99,"dailyjournal.net",14242,408900,1,1,865788,1084861,358828,11/10/2008 00:00,10/08/2013 00:00,"74.52.139.18","74.52.139.0","US","net",46,34,1,07/02/2013 00:00,07/02/2013 00:00
100,"tribtown.com",25544,409329,1,1,699132,15477948,1165213,07/02/2008 00:00,10/08/2013 00:00,"50.57.202.53","50.57.202.0","US","com",25,27,1,08/02/2013 00:00,08/02/2013 00:00
101,"epu.edu.vn",10626,556270,1,1,328726,58055514,2571887,24/01/2008 00:00,10/08/2013 00:00,"112.213.89.95","112.213.89.0","VN","vn",28,21,1,22/03/2012 00:00,22/03/2012 00:00
102,"cityzapper.nl",4583,714943,1,1,1230646,139886,102564,09/01/2008 00:00,10/08/2013 00:00,"87.253.139.42","87.253.139.0","NL","nl",47,23,1,14/04/2013 00:00,18/07/2013 00:00
103,"faceoff.com",8526,892783,1,1,2013565,322155,240713,09/01/2008 00:00,10/08/2013 00:00,"23.67.243.24","23.67.243.0","US","com",41,42,1,20/04/2013 00:00,20/04/2013 00:00
104,"burnabynow.com",6065,916956,1,1,533699,436377,276934,28/01/2008 00:00,10/08/2013 00:00,"23.65.181.99","23.65.181.0","US","com",49,43,1,04/06/2013 00:00,04/06/2013 00:00
