"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_arizonasandsrvpark.com","FirstLinkDate_arizonasandsrvpark.com","LastLinkDate_arizonasandsrvpark.com"
88,"deridderdailynews.com",5029,-1,1,3,1877794,16637584,1264067,20/10/2008 00:00,10/08/2013 00:00,"63.240.213.244","63.240.213.0","US","com",22,28,3,04/10/2010 00:00,04/10/2010 00:00
89,"outdoormaniacs.com",469,-1,1,3,15150,23981,21519,28/01/2008 00:00,10/08/2013 00:00,"184.168.221.44","184.168.221.0","US","com",15,13,3,15/11/2008 00:00,15/11/2008 00:00
90,"propertyknightsbridge.com",47,-1,1,3,7480,678138,678137,14/10/2008 00:00,28/06/2013 00:00,"82.98.86.172","82.98.86.0","DE","com",0,0,3,13/04/2010 00:00,10/05/2010 00:00
91,"talash.in",14,-1,1,3,20,1144742,1144742,22/06/2009 00:00,18/10/2012 00:00,"67.215.66.132","67.215.66.0","US","in",0,0,3,01/12/2010 00:00,01/12/2010 00:00
92,"rvparkreviews.net",263,-1,1,3,41503,155878,115736,22/01/2008 00:00,10/08/2013 00:00,"206.41.251.4","206.41.251.0","US","net",22,5,3,17/02/2011 00:00,05/06/2013 00:00
93,"ming990.com",73,-1,1,3,2104312,320516,108408,09/02/2012 00:00,10/08/2013 00:00,"141.101.116.155","141.101.116.0","EU","com",23,10,3,13/03/2013 00:00,13/03/2013 00:00
94,"microchip-technology.com",239,-1,1,3,23896,3484486,694474,13/05/2008 00:00,27/01/2013 00:00,"208.73.211.152","208.73.211.0","US","com",6,0,3,31/08/2009 00:00,31/08/2009 00:00
95,"wcoutlook.com",1868,-1,1,3,47892,17938862,1276986,26/01/2008 00:00,10/08/2013 00:00,"74.84.203.173","74.84.203.0","US","com",28,29,3,13/10/2010 00:00,13/10/2010 00:00
96,"gasta.ie",316,-1,1,3,469251,1594907,1594906,26/01/2008 00:00,20/03/2013 00:00,"91.210.235.70","91.210.235.0","IE","ie",4,0,3,30/11/2010 00:00,30/11/2010 00:00
97,"webmii.es",5319,-1,1,3,4189967,24248605,495597,06/02/2010 00:00,10/08/2013 00:00,"195.95.224.130","195.95.224.0","FR","es",27,10,3,10/10/2011 00:00,03/01/2012 00:00
98,"jordanstown.com",420,-1,1,3,796671,2583220,257659,30/09/2009 00:00,17/05/2011 00:00,"67.215.66.132","67.215.66.0","US","com",6,0,3,09/05/2010 00:00,09/05/2010 00:00
99,"alexa700.com",0,-1,1,3,0,36185,36184,17/03/2013 00:00,09/08/2013 00:00,"59.188.241.118","59.188.241.0","HK","com",0,0,3,18/04/2013 00:00,20/04/2013 00:00
100,"gasta.co.uk",356,-1,1,3,799997,1285855,1285854,18/01/2008 00:00,29/06/2013 00:00,"91.210.235.70","91.210.235.0","IE","uk",0,0,3,14/04/2010 00:00,14/04/2010 00:00
101,"royalavenue.com",7,-1,1,3,5515,457103,457103,06/07/2009 00:00,12/02/2013 00:00,"82.98.86.173","82.98.86.0","DE","com",0,0,3,19/10/2011 00:00,09/11/2011 00:00
102,"ming991.com",57,-1,1,3,67532,215478,65899,17/02/2013 00:00,10/08/2013 00:00,"108.162.197.79","108.162.197.0","US","com",20,3,3,06/05/2013 00:00,06/05/2013 00:00
103,"accessattractions.com",3977,-1,1,3,92959,37410,26579,14/01/2008 00:00,18/09/2009 00:00,"68.178.232.99","68.178.232.0","US","com",14,12,3,14/01/2008 00:00,14/01/2008 00:00
104,"aboutshortcut.com",1,-1,1,3,2,121570,121570,19/01/2008 00:00,19/08/2012 00:00,"91.121.81.175","91.121.81.0","FR","com",0,0,3,15/03/2008 00:00,19/11/2008 00:00
105,"frigglefraggle.com",867,-1,1,3,1531296,3469891,1497736,09/01/2008 00:00,01/12/2010 00:00,"67.215.66.132","67.215.66.0","US","com",8,6,3,20/06/2009 00:00,20/06/2009 00:00
106,"greensburgdailynews.com",6213,-1,1,3,258412,19586927,1361824,12/01/2008 00:00,10/08/2013 00:00,"74.84.203.168","74.84.203.0","US","com",35,31,3,27/08/2010 00:00,13/09/2010 00:00
107,"google.com",26799683,1,1,2,63044647699,10109867288,537445413,09/01/2008 00:00,10/08/2013 00:00,"173.194.75.103","173.194.75.0","US","com",99,99,2,02/03/2008 00:00,17/04/2011 00:00
108,"google.co.uk",1266722,27,1,2,541253096,67013036,2035314,09/01/2008 00:00,10/08/2013 00:00,"74.125.132.94","74.125.132.0","US","uk",72,78,2,18/05/2008 00:00,18/05/2008 00:00
109,"feedburner.com",2655894,833,1,2,8364787334,293875507,23259771,09/01/2008 00:00,10/08/2013 00:00,"74.125.225.128","74.125.225.0","US","com",92,91,2,10/12/2011 00:00,30/12/2011 00:00
110,"waff.com",41312,67828,1,2,1296691,20495047,1524171,08/02/2008 00:00,10/08/2013 00:00,"23.67.243.50","23.67.243.0","US","com",51,51,2,16/09/2010 00:00,16/09/2010 00:00
111,"bestsearching.com",920,77636,1,2,20459,6450088,714331,13/03/2008 00:00,08/08/2013 00:00,"64.99.64.37","64.99.64.0","CA","com",15,6,2,11/12/2010 00:00,11/12/2010 00:00
